discipline,M,rho,T,h,k,mean_simulation_EW,std_simulation_EW,mean_theoretical_EW,mean_absolute_error,mean_relative_error,max_relative_error,mean_num_packets,num_runs
exhaustive,5,0.1,3.0,0.8,1,2.326170419962621,0.02470094069421256,2.344444444444445,0.025077542134446632,0.0106965819530815,0.0144459620090192,3056.0,3
exhaustive,5,0.2,3.0,0.8,1,2.782362891040042,0.008468250721264406,2.775,0.0073628910400418005,0.0026532940684835,0.0061191978678537,6047.666666666667,3
exhaustive,5,0.3,3.0,0.8,1,3.369333034526188,0.013944716499839924,3.3285714285714287,0.040761605954758896,0.012245976037910333,0.0155902662903792,9082.666666666666,3
exhaustive,5,0.4,3.0,0.8,1,4.144508853762752,0.04057055670957492,4.066666666666666,0.07784218709608623,0.01914152141707037,0.0294245407923914,12116.666666666666,3
exhaustive,5,0.5,3.0,0.8,1,5.179154812594561,0.020509738678867566,5.1,0.0791548125945613,0.015520551489129633,0.0196413941204461,15089.0,3
exhaustive,5,0.6,3.0,0.8,1,6.742835836430288,0.028499491159015226,6.650000000000001,0.09283583643028732,0.0139602761549304,0.0167114399621564,18062.0,3
exhaustive,5,0.7,3.0,0.8,1,9.410484962574074,0.2623999569623471,9.23333333333333,0.19039130347826286,0.020619996766598866,0.0514457120560392,21067.0,3
exhaustive,10,0.1,3.0,0.8,1,4.559582198822034,0.029790877367239905,4.566666666666667,0.024738170038970567,0.0054171175267818,0.0066545528408358,3057.0,3
exhaustive,10,0.2,3.0,0.8,1,5.252232772774961,0.05986756982596593,5.275,0.05111448590032006,0.009689949933709932,0.0142349294431491,6048.333333333333,3
exhaustive,10,0.3,3.0,0.8,1,6.19929418143278,0.07909049379438975,6.185714285714286,0.055630730592870735,0.008993420650117634,0.016783177281047,9081.666666666666,3
exhaustive,10,0.4,3.0,0.8,1,7.435238700722941,0.029506779635589078,7.400000000000001,0.0352387007229412,0.004761986584181233,0.0092963660244774,12116.666666666666,3
exhaustive,10,0.5,3.0,0.8,1,9.16995688201034,0.041266787583697555,9.1,0.0699568820103368,0.007687569451685333,0.0113725308492681,15086.0,3
exhaustive,10,0.6,3.0,0.8,1,11.723321361426015,0.18770047845957855,11.65,0.11846017701662126,0.010168255537907333,0.0246929019454035,18058.333333333332,3
exhaustive,10,0.7,3.0,0.8,1,16.18435567588232,0.5009406108395715,15.9,0.37724206855400055,0.023725916261257866,0.0526566182838521,21067.333333333332,3
exhaustive,20,0.1,3.0,0.8,1,9.120586828338517,0.07802260177321983,9.011111111111113,0.10947571722740669,0.012148969852609832,0.0215026764697672,3057.0,3
exhaustive,20,0.2,3.0,0.8,1,10.20750439571556,0.0991996903908266,10.275,0.09832133534020508,0.0095689864078058,0.0132507606317082,6044.0,3
exhaustive,20,0.3,3.0,0.8,1,11.931411142309072,0.047615199760361986,11.9,0.04445092012998877,0.0037353714394947665,0.0062813806364943,9083.333333333334,3
exhaustive,20,0.4,3.0,0.8,1,14.253778002970947,0.048638949589008204,14.066666666666668,0.18711133630427723,0.0133017537657069,0.0165582413372701,12114.0,3
exhaustive,20,0.5,3.0,0.8,1,17.18386970154995,0.16187819810263743,17.1,0.15052346385923934,0.0088025417461543,0.0119892045415432,15087.666666666666,3
exhaustive,20,0.6,3.0,0.8,1,21.836201421965928,0.249801513963766,21.649999999999995,0.19583016483876625,0.009045273202714333,0.0215236546650403,18054.333333333332,3
